Company Name,Link,Region,Address
AE Projects,https://www.ae.be/en/,Flanders,"Tijkwerkersstraat 3, 2300 Turnhout"
Agilytic,http://www.agilytic.be,Wallonia,"Rue F. Dubois 2, 1310 La Hulpe"
Aptus,https://www.aptus.be/#,Flanders,"Meensesteenweg 449, 8501 Kortrijk"
Arinti,https://arinti.ai/,Flanders,
Around Media,https://www.around.media/,Flanders,"Adres: Kortrijksesteenweg 1127/0002, 9051, 9000 Gent"
B12 Consulting,https://www.b12-consulting.com/,Wallonia,"Boucle Odon Godart, 2, 1348, Ottignies-Louvain-la-Neuve"
Blendr.io,https://www.blendr.io/,Flanders,2017
BOBUP,http://www.bobup.be,Brussels,"Rue de Ransbeek 230, 1120 Bruxelles"
Boltzmann,http://www.boltzmann.be,Flanders,"20 februari 1844, Wenen, Oostenrijk"
Brainjar,http://www.brainjar.ai,Flanders,"Gaston Geenslaan 11, 3001 Leuven"
Brainstorm Consulting,https://www.bstorm.be/,Wallonia,"Rue du Bosquet 7, 1348 Ottignies-Louvain-la-Neuve"
Calculus,https://www.calculus.group/?lang=fr,Flanders,"Kempenseweg 12, 3690 Zutendaal"
Chiveo,http://www.chiveo.be/,Wallonia,
Comexis Partners,https://comexis.net/,Wallonia,"Avenue Pasteur 6, Building H, 1300 Wavre"
CooperLink,http://www.cooperlink.io,Wallonia,"Rue du Bois Saint-Jean 15/1, 4102 Seraing"
Creax,https://creax.com/,Flanders,"Walle 113G, 8500 Kortrijk"
CrossLang,http://www.crosslang.com/en,Flanders,"Kerkstraat 106, 9050 Gent"
D-Sight ,http://www.d-sight.com/,Brussels,2010
DART Consulting,http://dartconsult.com/fr/,Brussels,"Congresstraat 13, 1000 Brussel"
Data Factory ,https://www.datafactory.be/,Brussels,
Data Minded,http://www.dataminded.be,Flanders,"Vismarkt 17, 3000 Leuven"
Dataa,http://www.dataa.com,Brussels,"Dieudonné Lefèvrestraat 17, 1020 Brussel"
Dataroots,http://dataroots.io,Flanders,"Tiensevest 132, 3000 Leuven"
Datastories,http://datastories.com,Flanders,"Antoine Coppenslaan 27/bus 11, 2300 Turnhout"
Decis,https://www.decis.be/fr/,Wallonia,"505,21 g/mol"
Deeper Analytics,http://deeperanalytics.be,Wallonia,
DeltaTec,https://www.deltatec.be/,Wallonia,"Rue Gilles Magnée 92/6, 4430 Ans"
Dfakto,http://www.dfakto.com,Brussels,"Louis Schmidtlaan 29, 1040 Etterbeek"
Engiforce,http://www.engiforce.com/,Wallonia,
EuraNova,http://euranova.eu,Wallonia,"Rue Emile Francqui 4, 1435 Mont-Saint-Guibert"
Faktion,https://www.faktion.com/,Flanders,"Oudeleeuwenrui 39, 2000 Antwerpen"
Fit-For-Purpose Tech.,http://www.fitforpurpose.tech/,Brussels,"Victor Oudartstraat 7, 1030 Schaarbeek"
Fourcast,https://gcloud.devoteam.com/,Brussels,"Engelse Wandeling 2/18K, 8510 Kortrijk"
Freemind,http://www.freemind-group.com,Brussels,Java (programmeertaal)
GMind analytics,http://www.gmind.net,Wallonia,
Humain.AI,http://humain.ai,Flanders,
I-Pulses,https://www.i-pulses.be/,Wallonia,"Esplanade de Cuyper Beniest 5, 4671 Blégny"
In The Pocket,http://inthepocket.com,Flanders,
Ingestic,https://www.ingestic.be/,Wallonia,"Rue du Manège 18b, 1301 Wavre"
Invenira,http://www.invenira.com,Flanders,"Professor Roger Van Overstraetenplein 5, 3000 Leuven"
Ixor,https://ixor.be/,Flanders,"Schuttersvest 75, 2800 Mechelen"
Kantify,http://kantify.com,Brussels,"Louizalaan 54, 1050 Brussel"
Klarrio,https://klarrio.com/,Flanders,"Plantin en Moretuslei 1A, 2018 Antwerpen"
Lantana,http://www.lantana.be,Brussels,
ML6,http://ml6.eu,Flanders,"Esplanade Oscar Van De Voorde 1, 9000 Gent"
Mobius Design Thinking,https://www.mobius.eu/en/,Flanders,
N-side,http://www.n-side.com,Flanders,"Av. Baudouin 1er 25, 1348 Ottignies-Louvain-la-Neuve"
Odase,http://www.odaseontologies.com,Brussels,"Kazernestraat 45, 1000 Brussel"
Omina Tech.,http://www.omina.be,Flanders,"Mechelsesteenweg 19, 2018 Antwerpen"
Onebonsai,https://onebonsai.com/fr/ ,Flanders,"Luchthavenlaan 4, 1800 Vilvoorde"
Optimal Computing,https://www.optimalcomputing.be/index.php?company=company,Wallonia,"Rue de la Vignette 36, 7034 Mons"
Optimal Design,https://optimaldesign.com/OD/company.html,Brussels,
P4A,https://performanceforassets.com/,Wallonia,
Pegus Digital,https://pegus.digital/,Flanders,"Noordlaan 18, 8520 Kuurne"
Proxyclick,https://www.proxyclick.com/fr/?ads_cmpid=10183243095&ads_adid=100705580294&ads_matchtype=e&ads_network=g&ads_creative=438584373765&utm_term=proxyclick&ads_targetid=kwd-333521833842&utm_campaign=&utm_source=adwords&utm_medium=ppc&ttv=2&gclid=Cj0KCQiAoab_BRCxARIsANMx4S4eNWy3CB0MJQS_f507NsZWoBKEntVo3N3ow4gD_75rlWTZ5BN3a5QaAgU_EALw_wcB,Brussels,"Sint-Huibrechtsstraat 17, 1150 Brussel"
Radix.ai,http://www.radix.ai,Brussels,"Kantersteen 10, 1000 Brussel"
Reimagine,http://www.reimagine.be,Wallonia,"Witte Patersstraat 4, 1040 Etterbeek"
Room40,http://roomfourzero.com,Flanders,"Chemin-Rue 40, 4960 Malmedy"
Sagacify,http://www.sagacify.com,Brussels,"De Broquevillelaan 12, 1150 Brussels"
Savaco,http://www.savaco.com/,Flanders,"Beneluxpark 19, 8500 Kortrijk"
Seen apps,http://www.seen-apps.com ,Wallonia,"Rue Marcel de Brogniez 27/1, 4690 Bassenge"
Sentiance,https://www.sentiance.com ,Flanders,"Korte Lozanastraat 20, 2018 Antwerpen"
Skalup,http://www.skalup.com,Wallonia,"Av. Reine Astrid 16, 5000 Namur"
Sparkle,https://www.sparkle.tech/,Wallonia,"Grauwmeer 1, 3001 Leuven"
Tapptic,http://www.tapptic.com,Brussels,2009
TDSGN,https://www.tdsgn.be/,Wallonia,
Tengu,https://www.tengu.io/,Flanders,
Thelis,http://www.thelis.be,Wallonia,"Rue des Salamandres 2, 5100 Namur"
Trendskout,http://www.trendskout.com,Flanders,"Ottergemsesteenweg Zuid 808, 9000 Gent"
Tropos,http://www.tropos.io,Flanders,"Mechelsesteenweg 271, 2018 Antwerpen"
Underside,http://www.underside.be,Wallonia,"Av. Georges Lemaître 5, 6041 Charleroi"
VECTR Consulting,https://Vectr.Consulting,Flanders,"De Villermontlaan 9, 2550 Kontich"
VERHAERT,https://www.verhaert.com ,Wallonia,
VersaSense,http://www.versasense.com,Flanders,"Kapeldreef 60, 3001 Leuven"
Waylay,http://www.waylay.io,Flanders,"Blekersdijk 33a, 9000 Gent"
WEPOC,https://wepoc.be/,Wallonia,"Rue du Traité de Rome 6, 1348 Ottignies-Louvain-la-Neuve"
XC Lab,http://xclab.com/ ,Wallonia,
6Wolves,http://www.6wolves.ai,Brussels,"Moerstraat 40, 8000 Brugge"
Artiq,http://www.artiq.eu,Flanders,
Aspect Analytics,http://www.aspect-analytics.com,Flanders,"C-Mine 12, 3600 Genk"
Asylia Diagnostics,https://www.asyliadx.com/,Flanders,
Aurelis,https://aurelis.org/,Flanders,"Oude Godstraat 200, 2650 Edegem"
Avalasia,http://www.avalasia.com,Flanders,
Axiles Bionics,http://www.axilesbionics.com,Brussels,"Raketstraat 64, 1130 Brussel"
Axinesis,http://www.axinesis.com,Wallonia,"Av. Sabin 3, 1300 Wavre"
Bartanel,http://bartanel.com,Flanders,
Bingli,http://www.mybingli.com,Flanders,
BioClue,http://www.bioclue.eu,Flanders,2019
BioLizard,https://lizard.bio/,Flanders,"Martelaarslaan 408, 9000 Gent"
BioStrand,https://www.biostrand.be/,Flanders,"Abis, Agoralaan, 3590 Diepenbeek"
BT Clinical Computing,http://www.btclinicalcomputing.com,Wallonia,
CluePoints,http://cluepoints.com,Wallonia,"New Tech Center, Av. Albert Einstein 2a, 1348 Ottignies-Louvain-la-Neuve"
Creative Therapy,https://www.mycreativetherapy.com/#pll_switcher,Flanders,"Derbystraat, 9051 Gent"
DEO,https://deo.care/,Flanders,
Digital Orthopaedics,http://www.digital-orthopaedics.com,Wallonia,"Rue Emile Francqui 1, 1435 Mont-Saint-Guibert"
DNAlytics,http://dnalytics.com,Wallonia,"Centre Monnet, Av. Jean Monnet, 1348 Ottignies-Louvain-la-Neuve"
EarlyTracks,https://www.earlytracks.com/,Brussels,"Sint-Pieterssteenweg 260, 1040 Bruxelles"
Ectosense,https://www.ectosense.com/,Flanders,"De Hoorn, Sluisstraat 79/00.01, Sluisstraat, 3000 Leuven"
emma.health,http://emma.health,Flanders,"Ottergemsesteenweg Zuid 808C/bus 12, 9000 Gent"
Enpy,http://www.enpy.com,Brussels,"Louizalaan 65/11, 1050 Elsene"
Epcon,http://www.epcon.ai,Flanders,"Sint-Pietersvliet 7, 2000 Antwerpen"
Epihunter,https://www.epihunter.com/,Flanders,"Corda Campus, Kempische Steenweg 303/200, 3500 Hasselt"
Epilog,http://www.epilog.care,Flanders,"Vlasgaardstraat 52, 9000 Gent"
FluidDA,https://www.fluidda.com/,Flanders,"Groeningenlei 132, 2550 Kontich"
Gabi Smartcare,https://gabismartcare.com/,Wallonia,"Rue Emile Francqui 6 2nd Floor, 1435 Mont-Saint-Guibert"
Genae,https://www.genae.com/,Flanders,"Justitiestraat 6, 2018 Antwerpen"
HeartKinetics,https://heartkinetics.com/fr/,Wallonia,"Drève Richelle 161/57/Building M, 1410 Waterloo"
Hippocreates,http://www.hippocreates.be/,Flanders,"Ter Heidelaan 95A, 3200 Aarschot"
IBA,https://iba-worldwide.com/,Wallonia,
icoMetrix,http://www.icometrix.com,Flanders,"Kolonel Begaultlaan 1b, 3012 Leuven"
Innovation Sprint,https://innovationsprint.eu/,Brussels,"Clos Chapelle-aux-Champs 30 bte 1.30.30, 1200 Brussels"
Lindacare,https://lindacare.com/,Flanders,"Grauwmeer 1/41, 3001 Leuven"
Lopos,https://www.lopos.be/,Flanders,"Ottergemsesteenweg Zuid 808, 9000 Gent"
Lynxcare,http://lynxcare.be,Flanders,"Tiensevest 132, 3000 Leuven"
Medical Robots,http://www.medical-robots.be,Flanders,
Minze health,https://minzehealth.com/,Flanders,"Offerandestraat 1, 2060 Antwerpen"
Molecubes,http://molecubes.com,Flanders,"Ottergemsesteenweg Zuid 808 bus 325, 9000 Gent"
Mona,https://mona.health/,Flanders,
Mynutia,http://www.mynutia.com,Flanders,
Nischala Tech.,https://www.nischalatech.com/,Flanders,
OncoDNA,http://www.oncoshare.com,Wallonia,december 2012
Oncoradiomics,http://www.oncoradiomics.com,Wallonia,"Oxfordlaan 55, 6229 EV Maastricht, Nederland"
Ontoforce,http://www.ontoforce.com,Flanders,"Moutstraat 108, 9000 Gent"
Ovizio,https://ovizio.com/,Brussels,"Kersbeeklaan 306, 1180 Ukkel"
Partheas,https://partheas.com/,Flanders,"Sint Jorisstraat 17A, 9300 Aalst"
Phasya,https://www.phasya.com/en,Wallonia,"Rue du Bois Saint-Jean 29, 4102 Seraing"
ProteoFormiX,https://www.proteoformix.com/,Flanders,
Qaelum,https://qaelum.com/,Flanders,"Gaston Geenslaan 9, 3001 Leuven"
Qompium,https://www.fibricheck.com/,Flanders,
QuantaCorp,http://www.QuantaCorp.io,Flanders,"Amelia Earhartlaan 17, 9051 Gent"
Relu,http://relu.eu ,Flanders,"Kapeldreef 60, 3001 Leuven"
Rombit,http://rombit.com,Flanders,"Meir 30, 2000 Antwerpen"
Saana,https://saana.co/,Brussels,
salamander U,https://www.salamanderu.com/ ,Wallonia,"Science Park, Marche-en-Famenne Novalis, Rue de la Science 8, 6900"
Savics,http://www.savics.org ,Brussels,"Gemeentelijk Godshuisstraat 6, 1170 Watermaal-Bosvoorde"
Simpl,http://www.logiciel-crm.be/,Wallonia,"Joseph Verhasseltstraat 9, 1083 Bruxelles"
Sneezz,https://sneezz.be/,Flanders,
Spectricity,http://spectricity.com,Flanders,"Stationsstraat 55, 2800 Mechelen"
Spentys ,http:// https://www.spentys.com/ ,Brussels,"Sint-Denijsstraat 120, 1190 Vorst"
Strong Supplies,http://strong.supplies,Flanders,"Waalkens 11C, 9000 Gent"
Sunrise,http://www.sunrise-sleep.com ,Wallonia,
TELEMIS,http://www.telemis.com ,Wallonia,"Av. Athéna 2, 1348 Ottignies-Louvain-la-Neuve"
The Medical Cloud Company,http://www.medicalcloudcompany.com,Wallonia,"Clos Chanmurly 13, 4000 Liège"
Vitamin.ai,https://vitamin-ai.com,Flanders,
Xperthis,http://www.xperthis.be,Brussels,
Yagram Health,http://www.yagram.com,Brussels,
Yoboo,http://yoboo.health,Flanders,
Alberts,http://alberts.be,Flanders,"Bijkhoevelaan 32c, 2110 Wijnegem"
Amigrow,https://amigrowfarming.com/,Flanders,
Ampacimon,http://www.ampacimon.com/,Wallonia,"Rue de Wallonie 11, 4460 Grâce-Hollogne"
Ask Attis,http://www.askattis.com,Flanders,
Blacklight Analytics ,https://www.blacklight-analytics.com/,Wallonia,"Rue du Bois Saint-Jean, 4102 Seraing"
Building IQ,https://www.b-iq.be/nl,Flanders,2012
BUILDWIND,http://www.buildwind.net,Brussels,"Barastraat 175, 1070 Bruxelles"
byNubian,https://www.bynubian.com/fr/,Flanders,"Coupure Rechts 64D, 9000 Gent"
Dapesco,https://www.dapesco.com/fr/,Wallonia,"Rue Granbonpré 4, 1348 Ottignies-Louvain-la-Neuve"
Enervalis,http://www.enervalis.com,Flanders,"Lummense Kiezel 51, 3510 Hasselt"
Ethernetics,http://ethernetics.tech,Flanders,"Antwerpse Steenweg 19, 9080 Lochristi"
Foodpairing,https://www.foodpairing.com/fr/home,Flanders,"Ottergemsesteenweg Zuid 808, 9000 Gent"
Foresightee,http://www.foresightee.com,Flanders,
Hyler,http://www.hyler.be/,Flanders,"Vijvedreef 54, 8710 Wielsbeke"
i-farming,http://i-farming.net,Flanders,
IPBuilding,https://www.ipbuilding.be/,Flanders,"Ninovesteenweg 196, 9320 Aalst"
LAMMP,https://lammp.be/,Flanders,"Mechelsesteenweg 271/bus 2.1, 2018 Antwerpen"
Memoco,https://memoco.eu/,Wallonia,"Rue de Rodeuhaie 6, 1348 Ottignies-Louvain-la-Neuve"
Opinum,https://www.opinum.com/fr,Wallonia,"Rue Emile Francqui 9, 1435 Mont-Saint-Guibert"
Otrema,http://www.otrema.eu,Brussels,
SoundTalks,http://www.soundtalks.be,Flanders,"Interleuvenlaan 15C, 3001 Leuven"
Strategic Water,http://strategicwater.be,Flanders,"Gaston Crommenlaan 8, 9050 Gent"
Sumaqua,http://www.sumaqua.be,Flanders,"Sluisstraat 79 b3.01, 3000 Leuven"
The Kobi Company,http://thekobi.com,Flanders,"Ambachtenlaan 7C, 3001 Leuven"
Toadi,http://www.toadi.com,Flanders,
WeSmart,http://www.wesmart.com,Brussels,"Dieudonné Lefèvrestraat 17, 1020 Brussel"
ACM,https://www.acmonline.eu/login.php,Wallonia,1 april 2013
Aividens,http://www.aividens.com,Brussels,"Vrijwilligerslaan 19, 1160 Oudergem"
Automated Analytics,http://automatedanalytics.eu,Flanders,"Schaarbeekstraat 20 E1.1, 9120 Beveren"
Booqee,http://www.booqee.com,Brussels,
CashForce,http://www.discover-edge.com,Flanders,"Atealaan 34, 2200 Herentals"
Complidata,http://complidata.io,Flanders,
Contract.fit,http://contract.fit,Flanders,
DeJuristen,https://dejuristen.be/?lang=fr,Flanders,"Heernislaan 19, 9000 Gent"
Docbyte,https://www.docbyte.com/,Flanders,"Kortrijksesteenweg 1144B, 9051 Gent"
Edebex,http://edebex.com,Brussels,"Jules Cockx Straat 8-10 box 2, 1160 Brussels"
EisphorIA,http://www.eisphoria.com,Brussels,
Features Analytics,http://www.features-analytics.com,Wallonia,"Rue de Charleroi 2, 1400 Nivelles"
Horus Software,https://horussoftware.be/fr/,Wallonia,"Quai des Ardennes 9, 4020 Liège"
Infinity Mobile,http://infinity-mobile.io,Flanders,"Hoogstraat 29, 9850 Deinze"
InvestSuite,http://www.investsuite.eu,Flanders,"Sluisstraat 79, 3000 Leuven"
Keyrock,http://keyrock.eu,Brussels,"Louizalaan 251, 1000 Brussel"
Lawrenza,https://lawrenza.com/,Brussels,
Lex.be,http://lex.be,Brussels,"Witte Patersstraat 4, 1040 Etterbeek"
Ludebo,https://www.sec-dpo.com/,Wallonia,
NGData,http://www.lilyproject.org,Flanders,"bus 10, Sluisweg 2, 9000 Gent"
RiskConcile,http://www.riskconcile.com,Flanders,"Kapeldreef 60, 3001 Leuven"
Vadis Tech.,http://www.vadis.com,Brussels,"Tervurenlaan 270, 1150 Brussel"
WeGroup,http://www.wegroup.be,Flanders,"Moutstraat 68, 9000 Gent"
Yields,http://yields.io,Brussels,
ActiveMe,http://activeme.be,Wallonia,"Rue Granbonpré 11 Building E (1st Floor, 1348"
AI Blackbelt,https://www.aiblackbelt.com/,Brussels,"Kantersteen 10, 1000 Brussel"
ammco,https://ammco.be/en/,Flanders,"Aarschotsesteenweg 147, 3111 Rotselaar"
BDM Reco,http://bdmreco.io,Wallonia,
Be Central,http://becentral.org/ ,Brussels,"Kantersteen 10/12, 1000 Brussel"
CitizenLab,http://citizenlab.co,Flanders,september 2015
Comproved,https://comproved.com/,Flanders,
Cytomine,http://www.cytomine.be,Wallonia,"Quai Banning 6, 4000 Liège"
Dalberg Data Insights,http://www.dalberg.com,Brussels,
Datacamp,http://www.datamind.org,Flanders,2013
Dwengo,https://dwengo.org/,Flanders,
Hovertone,https://www.hovertone.com/,Wallonia,"Rue des Soeurs Noires 4, 7000 Mons"
Knowliah,http://www.knowliah.com/,Flanders,"Leuvensesteenweg 282, 3190 Boortmeerbeek"
